name,deliveryFee_deliveroo,city,deliveryFee_takeaway,fee_difference
Place 2 Eat,4.99,Roeselare,0.0,4.99
Pigout,4.99,Antwerpen,5.59,-0.5999999999999996
RebelsLunch,4.99,Antwerpen,5.59,-0.5999999999999996
YUUUM Antwerpen-Zuid,4.99,Antwerpen,4.84,0.15000000000000036
YUUUM Bonaparte,4.99,Antwerpen,3.49,1.5
Poisson du Monde,4.99,Laeken,3.84,1.1500000000000004
Yokoso,4.99,Gent,5.59,-0.5999999999999996
Yammy Thai Wok,4.99,Antwerpen,5.59,-0.5999999999999996
Fast&Chicken VIL,4.99,Vilvoorde,2.0,2.99
Soep Supply,4.99,Antwerpen,5.59,-0.5999999999999996
Croque O'Clock,4.99,Antwerpen,5.59,-0.5999999999999996
82*83,4.99,Mechelen,3.49,1.5
Het Goudhaantje,4.99,Antwerpen,1.5,3.49
Wazawok jette,4.99,Jette,0.0,4.99
Maki Maki ,4.99,Anvers,0.0,4.99
Maki Maki Uccle,4.99,Uccle,3.84,1.1500000000000004
Acropolis Patmos El Gringo,4.99,Saint-Nicolas,0.0,4.99
Restaurant Lebanon BUC,4.99,Uccle,3.84,1.1500000000000004
In 't Vrije,4.99,Brugge,4.49,0.5
Peppermint Park,4.99,Jette,3.84,1.1500000000000004
Pho Delight ,4.99,Leuven,2.99,2.0
Belchicken - Gent Vrijdagmarkt,4.99,Gent,5.59,-0.5999999999999996
Wok masala ,4.99,Schaerbeek,5.0,-0.009999999999999787
Magnum and Ben & Jerry's Store ,4.99,Gent,4.84,0.15000000000000036
Magnum and Ben & Jerry's Store ,4.99,Gent,4.84,0.15000000000000036
Grom Gelato ,4.99,Gent,4.84,0.15000000000000036
Grom Gelato ,4.99,Gent,4.84,0.15000000000000036
